"# of Use","# Penggunaan"
"%1$s incl tax.","%1$s termasuk pajak."
"%s - %s","%s - %s"
"%s Item(s)","%s Item(s)"
"%s and above","%s and above"
"%s-%s of %s","%s-%s of %s"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Harap berhati-hati karena setelah Anda klik pada baris itu akan memuat data paket membentuk file yang dipilih dan semua data formulir yang belum disimpan akan hilang."
"Please click on Close Window button if it won't be closed automatically","Silakan klik tombol Close Jendela jika tidak akan ditutup secara otomatis"
"Please click on the Close Window button if it is not closed automatically.","Please click on the Close Window button if it is not closed automatically."
"Please enter a new group name","Masukkan nama grup baru"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Segarkan ""Katalog Penulisan ulang"" dan ""Layered Indeks Navigasi"" di Sistem -> <a href=""%s""> Manajemen Cache </a>"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>"
"Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>"
"Please select  items","Silakan pilih item"
"Please select a static block ...","Please select a static block ..."
"Please select items.","Please select items."
"Please select one or more attributes.","Silakan pilih salah satu atau lebih atribut."
"Please select product(s)","Silakan pilih produk"
"Please select product(s).","Silakan pilih produk."
"Please select products for attributes update","Silakan pilih produk untuk atribut pembaruan"
"Please select static block ...","Silakan pilih blok statis ..."
"Please set up merge date/time","Please set up merge date/time"
"Please set up merge date/time .","Silakan mengatur merge tanggal / waktu."
"Please set up merge date/time later then present date","Please set up merge date/time later then present date"
"Please specify date required option(s)","Silakan tentukan tanggal pilihan diperlukan"
"Please specify date required option(s).","Please specify date required option(s)."
"Please specify the number of products, that will not be divided into subintervals.","Please specify the number of products, that will not be divided into subintervals."
"Please specify the product option(s)","Silakan tentukan pilihan produk"
"Please specify the product required option(s)","Silakan tentukan produk pilihan yang diperlukan"
"Please specify the product required option(s).","Silakan tentukan the produk required option(s)."
"Please specify the product(s) quantity","Silakan tentukan produk kuantitas"
"Please specify the product\'s option(s).","Silakan tentukan the produk option(s)."
"Please specify the product\'s required option(s).","Silakan tentukan the product\'s required option(s)."
"Please specify the quantity of product(s).","Silakan tentukan the quantity of product(s)."
"Please specify time required option(s)","Silakan tentukan waktu opsi yang diperlukan"
"Please specify time required option(s).","Silakan tentukan time required option(s)."
"Please wait...","Please wait..."
"Please, use four-digit year format","Silakan, menggunakan empat digit Format tahun"
"Position","Posisi"
"Position In Layered Navigation","Posisi Dalam Layered Navigasi"
"Position in Layered Navigation","Posisi Dalam Layered Navigasi"
"Position of attribute in layered navigation block","Posisi atribut di blok navigasi berlapis"
"Prev","Prev"
"Previous","Sebelumnya"
"Price","Harga"
"Price Navigation Step Calculation","Price Navigation Step Calculation"
"Price Type","Harga Type"
"Price is not available","Price is not available"
"Price values for options should be specified in system base currency.","Nilai harga untuk pilihan harus ditentukan dalam mata uang dasar sistem."
"Price:","Harga:"
"Price: %s","Harga: %s"
"Print This Page","Cetak Halaman ini"
"Problem saving the collection, aborting. Error: %s","Masalah menyimpan koleksi, batal. Kesalahan: %s"
"Product","Produk"
"Product %s successfully added to compare list","Produk %s berhasil ditambahkan untuk membandingkan daftar"
"Product %s successfully removed from compare list","Produk %s berhasil dihapus dari daftar bandingkan"
"Product API","Produk API"
"Product Alerts","Alarm Produk"
"Product Attribute","Atribut Produk"
"Product Attributes","Atribut Produk"
"Product Categories","Kategori Produk"
"Product Description","Deskripsi Produk"
"Product Extra Info","Product Extra Info"
"Product Flat Data","Product Flat Data"
"Product ID","Product ID"
"Product Image","Product Image"
"Product Image Placeholders","Gambar Produk Placeholder"
"Product Image Watermarks","Gambar Produk Watermarks"
"Product Images","Produk Images"
"Product Images API","Produk Images API"
"Product In Websites","Produk Di Website"
"Product Info Column","Info Produk Kolom"
"Product Information","Informasi Produk"
"Product Link Block Template","Product Link Block Template"
"Product Link Inline Template","Product Link Inline Template"
"Product Listing Sort by","Product Listing Sort by"
"Product Name","Nama Produk"
"Product Prices","Produk Harga"
"Product Reviews","Ulasan Produk"
"Product Tags","Tags Produk"
"Product Tier Price API","Produk Tier Harga API"
"Product Type","Jenis Produk"
"Product URL Suffix","URL produk Akhiran"
"Product View Extra Hint","Produk View Extra Hint"
"Product attribute sets API","Atribut produk set API"
"Product attribute was successfully deleted","Atribut produk berhasil dihapus"
"Product attribute was successfully saved","Atribut produk yang berhasil disimpan"
"Product attributes API","Atribut produk API"
"Product collection expected","Koleksi produk diharapkan"
"Product collection expected.","Produk collection expected."
"Product deleted","Produk dihapus"
"Product duplicated","Produk digandakan"
"Product has required options","Produk telah diperlukan Pilihan"
"Product is not loaded","Product is not loaded"
"Product links API (related, cross sells, up sells)","Link produk API (terkait, lintas menjual, sampai menjual)"
"Product listing sort by","Produk daftar urut berdasarkan"
"Product name","Produk nama"
"Product saving error.","Produk tabungan kesalahan."
"Product saving error. ","Produk tabungan kesalahan."
"Product types API","Jenis produk API"
"Product was successfully created.","Produk berhasil dibuat."
"Product was successfully saved.","Produk berhasil diselamatkan."
"Product with this combination of attributes already associated to configurable.","Produk dengan kombinasi atribut sudah terkait untuk dikonfigurasi."
"Products","Produk"
"Products Comparison List","Products Comparison List"
"Products Information","Informasi Produk"
"Products Reviews","Produk Ulasan"
"Products Sitemap","Produk Sitemap"
"Products only","Produk hanya"
"Products per Page on Grid Allowed Values","Products per Page on Grid Allowed Values"
"Products per Page on Grid Default Value","Products per Page on Grid Default Value"
"Products per Page on Grid default value","Produk per Halaman di nilai default Grid"
"Products per Page on List Allowed Values","Products per Page on List Allowed Values"
"Products per Page on List Default Value","Products per Page on List Default Value"
"Products per Page on List allowed values","Produk per Halaman pada nilai-nilai Daftar diperbolehkan"
"Products per Page on List default value","Produk per Halaman di Daftar nilai default"
"Products per page on Grid allowed values","Produk per halaman di Grid memungkinkan nilai-nilai"
"Properties","Properti"
"Qty","Qty"
"Qty Increments","Qty Increments"
"Qty Uses Decimals","Jumlah Menggunakan Desimal"
"Qty for Item's Status to become Out of Stock","Jumlah untuk Status Barang untuk menjadi Out of Stock"
"Qty for Item\'s Status to Become Out of Stock","Qty for Item\'s Status to Become Out of Stock"
"Qty:","Qty:"
"Quantity","Quantity"
"Quick Create","Buat Cepat"
"Quick Overview","Ikhtisar Cepat"
"Quick simple product creation","Penciptaan produk yang sederhana Cepat"
"Records for ""","Records untuk """
"Records for ""%s"" store found.","Records for ""%s"" store found."
"Redirect","Redirect"
"Redirect URL","Redirect URL"
"Regular Price:","Harga Normal:"
"Related Products","Produk-produk terkait"
"Remove","Menghapus"
"Remove Product","Hapus Produk"
"Remove Product From Websites","Hapus Produk Dari Website"
"Remove This Item","Buak Baran Ini"
"Remove attribute from attribute set","Remove attribute from attribute set"
"Remove attribute set","Remove attribute set"
"Remove custom option","Remove custom option"
"Remove group from attribute set","Remove group from attribute set"
"Remove option","Remove option"
"Remove product assignment","Hapus tugas produk"
"Remove product image","Hapus citra produk"
"Remove product link","Menghapus link produk"
"Remove value from custom option","Remove value from custom option"
"Rename existing group","Rename existing group"
"Rename group","Rename group"
"Reorganize EAV category structure to flat structure","Reorganize EAV category structure to flat structure"
"Reorganize EAV product structure to flat structure","Reorganize EAV product structure to flat structure"
"Required","Wajib"
"Reset","Atur ulang"
"Results","Hasil"
"Results per page","Results per page"
"Retrieve attribute data","Mengambil data atribut"
"Retrieve attribute list","Mengambil daftar atribut"
"Retrieve attribute options","Mengambil opsi atribut"
"Retrieve categories tree","Ambil pohon kategori"
"Retrieve category attributes","Mengambil atribut kategori"
"Retrieve category data","Mengambil data kategori"
"Retrieve hierarchical tree","Ambil pohon hirarkis"
"Retrieve linked products","Mengambil produk terkait"
"Retrieve list of assigned products","Daftar produk ditugaskan mengambil"
"Retrieve list of option values","Retrieve list of option values"
"Retrieve list of product custom options","Retrieve list of product custom options"
"Retrieve one level of categories by website/store view/parent category","Ambil satu tingkat dari kategori oleh website / toko kategori view / orang tua"
"Retrieve option value info","Retrieve option value info"
"Retrieve product","Ambil produk"
"Retrieve product attribute sets","Ambil atribut produk set"
"Retrieve product image","Ambil gambar produk"
"Retrieve product image list","Mengambil daftar citra produk"
"Retrieve product image types","Mengambil jenis citra produk"
"Retrieve product link type attributes","Mengambil atribut jenis link produk"
"Retrieve product link types","Ambil jenis link produk"
"Retrieve product tier prices","Ambil harga lapis produk"
"Retrieve product types","Ambil jenis produk"
"Retrieve products data","Mengambil data produk"
"Retrieve products list by filters","Ambil daftar produk dengan filter"
"Review successfully deleted","Tinjau berhasil dihapus"
"Review was saved successfully","Ulasan diselamatkan berhasil"
"Review was successfully saved","Ulasan berhasil diselamatkan"
"Reviews","Ulasan"
"Roll Over for preview","Gulung Lebih untuk pratinjau"
"Root","Akar"
"SKU","SKU"
"SKU length should be %s characters maximum.","SKU length should be %s characters maximum."
"Save","Simpan"
"Save And Continue Edit","Simpan Dan Lanjutkan Sunting"
"Save Attribute","Simpan Atribut"
"Save Attribute Set","Menyimpan Atribut Set"
"Save Category","Kirimkan Kategori"
"Save Search","Simpan Pencarian"
"Save and Continue Edit","Simpan dan lanjutkan meredaksi"
"Saved ","Disimpan"
"Saved %d record(s)","Saved %d record(s)"
"Scope","Cakupan"
"Scope must not be changed, because the attribute is used in configurable products.","Scope must not be changed, because the attribute is used in configurable products."
"Search","Pencarian"
"Search Engine Optimizations","Optimasi Search Engine"
"Search Information","Informasi Cari"
"Search Query","Parameter Pencarian"
"Search Term was successfully saved","Cari Term berhasil diselamatkan"
"Search Term with such search query already exist.","Cari Term dengan permintaan pencarian seperti sudah ada."
"Search Term with such search query already exists.","Search Term with such search query already exists."
"Search Weight","Search Weight"
"Search was successfully deleted","Cari berhasil dihapus"
"Searchable","Dicari"
"See price before order confirmation.","See price before order confirmation."
"Select Category...","Select Category..."
"Select Configurable Attributes ","Pilih Atribut Dikonfigurasi"
"Select Product...","Select Produk..."
"Select type of option","Pilih jenis opsi"
"Select type options required values rows.","Pilih Pilihan jenis diperlukan nilai-nilai baris."
"Selected Product Types","Jenis Produk yang dipilih"
"Selected configuration is not available.","Konfigurasi yang dipilih tidak tersedia."
"Send Count","Kirim Hitungan"
"Set Ascending Direction","Set Arah secara Ascending"
"Set Descending Direction","Set Descending Direction"
"Set Name","Set Nama"
"Set Root Category For Store","Set Akar Kategori Untuk Toko"
"Set Root Category for Store","Set Akar Kategori Untuk Toko"
"Set root category for this store in the <a href=""%s"">configuration</a>","Set kategori root untuk toko ini di <a href=""%s""> konfigurasi </a>"
"Set special price","Set harga khusus"
"Set/Get current store view","Set / Dapatkan tampilan toko saat"
"Settings","Pengaturan"
"Share Facebook","Share Facebook"
"Share on Facebook","Share on Facebook"
"Share on Twitter","Share on Twitter"
"Shop By","Toko oleh"
"Shop by","Toko oleh"
"Shopping Options","Pilihan Belanja"
"Short Description","Deskripsi Singkat"
"Show","Menunjukkan"
"Show Details","Tampilkan Detail"
"Show Tags","Tampilkan Tags"
"Simple Product","Sederhana Produk"
"Site Map","Peta situs"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Loncat impor baris, bukan nilai yang valid ""%s"" untuk bidang ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Loncat impor baris, bidang diperlukan ""%s"" untuk pelanggan baru tidak didefinisikan"
"Skip import row, required field ""%s"" for new products not defined","Loncat impor baris, bidang diperlukan ""%s"" untuk produk baru tidak didefinisikan"
"Skip import row, required field ""%s"" for the new customer is not defined.","Skip import row, required field ""%s"" for the new customer is not defined."
"Skip import row, required field ""%s"" not defined","Loncat impor baris, bidang diperlukan ""%s"" tidak didefinisikan"
"Skip import row, store ""%s"" field not exists","Loncat impor baris, bidang toko ""%s"" tidak ada"
"Skip import row, the value ""%s"" is invalid for field ""%s""","Skip import row, the value ""%s"" is invalid for field ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Skipping import row, required field ""%s"" for new products is not defined."
"Skipping import row, required field ""%s"" is not defined.","Skipping import row, required field ""%s"" is not defined."
"Skipping import row, store ""%s"" field does not exist.","Skipping import row, store ""%s"" field does not exist."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Skipping import row, the value ""%s"" is not valid for the ""%s"" field."
"Small Image Width","Small Image lebar"
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products."
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Some of the products below do not have all the required options. Please edit them and configure all the required options."
"Some of the selected item options are not currently available.","Some of the selected item options are not currently available."
"Sort By","Urutkan berdasarkan"
"Sort Order","Urutan Sortir"
"Sort by","Urutkan berdasarkan"
"Source Model","Sumber Model"
"Special Expires On: %s","Special Expires On: %s"
"Special Price:","Harga Spesial:"
"Special Price: %s","Special Price: %s"
"Starting at:","Mulai:"
"Static","Statis"
"Static block and products","Blok statis dan produk"
"Static block only","Blok statis hanya"
"Status","Status"
"Stock Availability","Ketersediaan Stok"
"Store","Toko"
"Store View","Toko View"
"Stretch","Meregang"
"Subscribe to Feed","Berlangganan Feed"
"Subscribe to RSS Feed","Berlangganan RSS Feed"
"Super product attributes configuration","Super atribut produk konfigurasi"
"Synonym For","Sinonim Untuk"
"Synonym for","Sinonim untuk"
"System","Sistem"
"System Properties","System Properties"
"Tag Name","Tag Nama"
"Tax","Pajak"
"Tax Class","Kelas Pajak"
"Template","Template"
"Text","Teks"
"Text Area","Text Area"
"Text Field","Text Field"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module"
"The From Date value should be less than or equal to the To Date value.","The From Date value should be less than or equal to the To Date value."
"The attribute code \'%s\' is reserved by system. Please try another attribute code","The attribute code \'%s\' is reserved by system. Please try another attribute code"
"The attribute model is not defined","The attribute model is not defined"
"The attribute set has been saved.","The attribute set has been saved."
"The base directory to upload file is not specified.","The base directory to upload file is not specified."
"The category has been deleted.","The category has been deleted."
"The category has been saved.","The category has been saved."
"The comparison list was cleared.","The comparison list was cleared."
"The file '%s' for '%s' has an invalid extension","The file '%s' for '%s' has an invalid extension"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","The file '%s' you uploaded is larger than %s Megabytes allowed by server"
"The file you uploaded is larger than %s Megabytes allowed by server","The file you uploaded is larger than %s Megabytes allowed by server"
"The filters must be an array.","The filters must be an array."
"The image contents is not valid base64 data.","The image contents is not valid base64 data."
"The image is not specified.","The image is not specified."
"The model collection resource name is not defined.","The model collection resource name is not defined."
"The product %s has been added to comparison list.","The product %s has been added to comparison list."
"The product %s has been removed from comparison list.","The product %s has been removed from comparison list."
"The product attribute has been deleted.","The product attribute has been deleted."
"The product attribute has been saved.","The product attribute has been saved."
"The product has been created.","The product has been created."
"The product has been deleted.","The product has been deleted."
"The product has been duplicated.","The product has been duplicated."
"The product has been saved.","The product has been saved."
"The product has required options","The product has required options"
"The review has been deleted","The review has been deleted"
"The review has been saved.","The review has been saved."
"The review was removed by another user or does not exist.","The review was removed by another user or does not exist."
"The search was deleted.","The search was deleted."
"The text is too long","The text is too long"
"There are no %s available.","Tidak ada %s tersedia."
"There are no customers for this alert","Tidak ada pelanggan untuk waspada ini"
"There are no customers for this alert.","There are no customers for this alert."
"There are no products matching the selection.","Tidak ada produk yang cocok dengan pilihan."
"There was an error while adding products to websites","Ada kesalahan saat menambahkan produk ke situs"
"There was an error while cleared compare list","Ada kesalahan saat membersihkan membandingkan daftar"
"There was an error while removing products from websites","Terjadi kesalahan saat mengeluarkan produk dari situs"
"There was an error while request processing.","There was an error while request processing."
"There was an error while updating product(s) attributes","Ada kesalahan saat memperbarui produk (s) atribut"
"There was an error while updating product(s) status","Terjadi kesalahan saat memperbarui (s) status produk"
"This Attribute no longer exists","This Attribute no longer exists"
"This attribute cannot be deleted.","This attribute cannot be deleted."
"This attribute cannot be edited.","This attribute cannot be edited."
"This attribute cannot be updated.","This attribute cannot be updated."
"This attribute is used in configurable products.","This attribute is used in configurable products."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","This attribute is used in configurable products. You cannot remove it from the attribute set."
"This attribute no longer exists","Atribut ini tidak ada lagi"
"This attribute set no longer exists.","This attribute set no longer exists."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Kelompok ini berisi atribut, digunakan dalam produk dikonfigurasi. Silakan pindah atribut ini ke kelompok lain dan coba lagi."
"This group contains system attributes. Please move system attributes to another group and try again.","Kelompok ini berisi atribut sistem. Silakan pindah atribut sistem untuk kelompok lain dan coba lagi."
"This is a required option","Ini adalah pilihan yang diperlukan"
"This product no longer exists.","This product no longer exists."
"This search no longer exists","Pencarian ini tidak ada lagi"
"This search no longer exists.","Pencarian ini tidak ada lagi."
"This setting will be applied when all prices in the specific price interval are equal.","This setting will be applied when all prices in the specific price interval are equal."
"Tier Pricing","Tier Harga"
"Tile","Ubin"
"Time Format","Format waktu"
"Time format","Format waktu"
"Title","Judul"
"To reindex the enabled product(s), the store or product must be specified","To reindex the enabled product(s), the store or product must be specified"
"To see product price, add this item to your cart. You can always remove it later.","To see product price, add this item to your cart. You can always remove it later."
"Top/Left","Top / Left"
"Top/Right","Kanan Atas"
"Total Qty Base Items","Jumlah Item Qty Basis"
"Total Qty Content Items","Total Qty Content Items"
"Total incl. Tax: %1$s","Jumlah incl. Pajak: %1$s"
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d record(s) were successfully deleted","Jumlah %d record berhasil dihapus"
"Total of %d record(s) were successfully updated","Jumlah %d record berhasil diperbarui"
"Total of %d record(s) were updated","Total of %d record(s) were updated"
"Type","Jenis"
"URL Rewrite Management","URL Rewrite Management"
"Unable to complete request. Please try again later.","Tidak dapat menyelesaikan permintaan. Silakan coba lagi nanti."
"Unable to complete this request.","Unable to complete this request."
"Unable to find a search term to delete","Tidak dapat menemukan istilah pencarian untuk menghapus"
"Unable to find a search term to delete.","Tidak dapat menemukan istilah pencarian untuk menghapus."
"Unable to find an attribute to delete","Tidak dapat menemukan atribut untuk menghapus"
"Unable to find an attribute to delete.","Tidak dapat menemukan atribut untuk menghapus."
"Unable to get product id.","Tidak dapat mendapatkan id produk."
"Unable to get the product ID.","Unable to get the product ID."
"Unassigned Attributes","Atribut Unassigned"
"Unique Value","Nilai unik"
"Unique Value (not shared with other products)","Nilai Unik (tidak dibagi dengan produk lain)"
"Unknown EAV indexer type ""%s"".","Unknown EAV indexer type ""%s""."
"Unknown attribute: %s","Diketahui atribut: %s"
"Unknown attribute: %s.","Diketahui atribut: %s."
"Unsupported product type ""%s"".","Unsupported product type ""%s""."
"Up-sells","Up-menjual"
"Update","Memperbarui"
"Update Attributes","Perbarui Atribut"
"Update Tier Price","Perbarui Tier Harga"
"Update assigned product","Perbarui produk ditugaskan"
"Update attribute","Atribut pembaruan"
"Update attributes","Atribut pembaruan"
"Update category","Kategori pembaruan"
"Update custom option of product","Update custom option of product"
"Update product","Produk pembaruan"
"Update product image","Citra produk pembaruan"
"Update product link","Link produk pembaruan"
"Update product tier prices","Perbarui harga lapis produk"
"Update value of custom option","Update value of custom option"
"Upload new product image ","Meng-upload gambar produk baru"
"Url","Url"
"Url Rewrite Management","Manajemen Rewrite url"
"Url rewrie save problem.","Rewrie url menyimpan masalah."
"Use Canonical Link Meta Tag For Categories","Use Canonical Link Meta Tag For Categories"
"Use Canonical Link Meta Tag For Products","Use Canonical Link Meta Tag For Products"
"Use Categories Path for Product URLs","Use Categories Path for Product URLs"
"Use Config Settings","Gunakan Pengaturan Config"
"Use Default Value","Gunakan Nilai Default"
"Use Flat Catalog Category","Gunakan datar Katalog Kategori"
"Use Flat Catalog Product","Gunakan datar Katalog Produk"
"Use In Layered Navigation","Gunakan Dalam Layered Navigasi"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Gunakan Dalam Layered Navigasi <br/> (Dapat digunakan hanya dengan input type katalog 'Dropdown')"
"Use In Search Results Layered Navigation","Gunakan Dalam Hasil Pencarian Layered Navigasi"
"Use JavaScript Calendar","Gunakan JavaScript Kalender"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"Use To Create Configurable Product","Gunakan Untuk Membuat Produk Dikonfigurasi"
"Use Tree Like Category Sitemap","Gunakan Tree Anda suka Kategori Sitemap"
"Use categories path for product URLs","Gunakan kategori jalan untuk URL produk"
"Use config","Use config"
"Use default","Use default"
"Use for Promo Rule Conditions","Use for Promo Rule Conditions"
"Use four-digit year format.","Use four-digit year format."
"Use in Advanced Search","Use in Advanced Search"
"Use in Layered Navigation","Use in Layered Navigation"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')"
"Use in Quick Search","Use in Quick Search"
"Use in advanced search","Gunakan dalam pencarian lanjutan"
"Use in quick search","Gunakan dalam pencarian cepat"
"Used for Sorting in Product Listing","Digunakan untuk menyortir di daftar produk"
"Used for sorting in product listing","Digunakan untuk menyortir di daftar produk"
"Used in Product Listing","Digunakan dalam daftar produk"
"Used in product listing","Digunakan dalam daftar produk"
"Value for ""%s"" is invalid.","Value for ""%s"" is invalid."
"Value for ""%s"" is invalid: %s","Value for ""%s"" is invalid: %s"
"Values Required","Nilai Diperlukan"
"Varchar","Varchar"
"View Details","View Details"
"View as","Lihat sebagai"
"Virtual Product","Virtual Produk"
"Visibility","Jarak penglihatan"
"Visible","Terlihat"
"Visible on Catalog Pages on Front-end","Terlihat pada Halaman Katalog di Front-end"
"Visible on Product View Page on Front-end","Terlihat pada Lihat Produk Page di Front-end"
"WYSIWYG Editor","WYSIWYG Editor"
"Watermark","Cap air"
"Watermark Default Size","Watermark Standar Ukuran"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
"Watermark Position","Watermark Posisi"
"We Also Recommend","Kami Juga Merekomendasikan"
"Web Site Item Must be checked","Situs web Barang Harus diperiksa"
"Web Site Store Must be checked","Situs web Toko Harus diperiksa"
"Website","Situs web"
"Website Item Must be checked","Website Item Must be checked"
"Website Store Must be checked","Website Store Must be checked"
"Websites","Website"
"What's this?","What's this?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Whether to show ""All"" option in the ""Show X Per Page"" dropdown."
"Will make search for the query above return results for this search.","Will make search for the query above return results for this search."
"Wrong BuyRequest instance in options group","Salah contoh BuyRequest di pilihan grup"
"Wrong BuyRequest instance in options group.","Salah contoh BuyRequest di pilihan grup."
"Wrong configuration item instance in options group.","Wrong configuration item instance in options group."
"Wrong configuration item option instance in options group.","Wrong configuration item option instance in options group."
"Wrong option instance type in options group","Salah pilihan jenis contoh di pilihan grup"
"Wrong option instance type in options group.","Salah pilihan jenis contoh di pilihan grup."
"Wrong option type to get group instance.","Salah jenis pilihan untuk mendapatkan contoh kelompok."
"Wrong product instance type in options group","Produk yang salah jenis contoh di pilihan grup"
"Wrong product instance type in options group.","Produk yang salah jenis contoh di pilihan grup."
"Wrong product type filter specified","Wrong product type filter specified"
"Wrong product type to extract configurable options.","Wrong product type to extract configurable options."
"Wrong quote item instance in options group","Salah kutipan barang contoh dalam pilihan grup"
"Wrong quote item option instance in options group","Salah Item kutipan pilihan misalnya dalam pilihan grup"
"Year Range","Tahun Rentang"
"Yes","Iya Nih"
"Yes/No","Ya Tidak"
"You cannot delete this attribute","Anda tidak dapat menghapus atribut ini"
"You cannot edit this attribute","Anda tidak dapat mengedit atribut ini"
"You cannot remove system attribute from this set.","Anda tidak dapat menghapus sistem atribut dari set ini."
"You cannot update this attribute","Anda tidak dapat memperbarui atribut ini"
"You have no items to compare.","Anda tidak memiliki item untuk membandingkan."
"You may also be interested in the following product(s)","Anda juga mungkin tertarik pada produk berikut (s)"
"Zoom In","Perbesar"
"Zoom Out","Zoom Out"
"[GLOBAL]","[GLOBAL]"
"and","dan"
"and above","dan di atas"
"cache refresh needed","Cache penyegaran dibutuhkan"
"categories","kategori"
"comma separated","dipisahkan koma"
"each","masing-masing"
"ex. http://domain.com","ex. http://domain.com"
"leave blank if its not an image","kosongkan jika tidak gambar"
"must be in the allowed values list","harus berada dalam daftar nilai diperbolehkan"
"per page","per halaman"
"products","produk"
"px.","px."
"save","menyimpan"
"select all","pilih semua"
"unselect all","unselect semua"
"x","x"
